Wall time,Step,Value
1700653411.2483351,414400,-329.9430236816406
1700653438.0639694,415200,-331.4244079589844
1700653464.326185,416000,-341.13128662109375
1700653491.062006,416800,-350.034423828125
1700653518.588912,417600,-345.16595458984375
1700653572.393555,419200,-341.8612365722656
1700653655.6239588,421600,-342.4108581542969
1700653681.6933742,422400,-333.0768127441406
1700653708.0707164,423200,-334.2645263671875
1700653763.211391,424800,-320.3849182128906
1700653792.046581,425600,-311.9110107421875
1700653819.2212467,426400,-299.909912109375
1700653845.72442,427200,-286.77996826171875
1700653873.621014,428000,-286.5802917480469
1700653900.232173,428800,-288.06268310546875
1700653928.0136156,429600,-278.4728698730469
1700653955.2288446,430400,-274.21051025390625
1700653981.060698,431200,-277.39361572265625
1700654007.2173536,432000,-284.1829833984375
1700654034.5398648,432800,-275.8371276855469
1700654062.1299999,433600,-278.5552062988281
1700654090.1580758,434400,-285.27105712890625
1700654117.6706321,435200,-279.4549255371094
1700654145.117634,436000,-268.6855163574219
1700654200.0826194,437600,-259.46240234375
1700654227.5805147,438400,-261.1326904296875
1700654255.7386334,439200,-264.1192932128906
1700654309.921932,440800,-259.97515869140625
1700654364.125803,442400,-254.838623046875
1700654393.3297784,443200,-254.23268127441406
1700654420.9997625,444000,-272.16827392578125
1700654448.3564038,444800,-266.1184387207031
1700654476.4252594,445600,-267.5715637207031
1700654534.0319133,447200,-276.8720703125
1700654561.8703957,448000,-278.2294006347656
1700654589.3227506,448800,-265.5121154785156
1700654615.4555817,449600,-266.08984375
1700654642.3958433,450400,-281.2518310546875
1700654670.4669755,451200,-284.5968322753906
1700654697.5019093,452000,-273.5958251953125
1700654751.1334493,453600,-277.64788818359375
1700654779.863202,454400,-268.82269287109375
1700654806.5921068,455200,-264.3831787109375
1700654834.3492398,456000,-273.38494873046875
1700654863.798351,456800,-276.5306701660156
1700654893.5438507,457600,-284.0689392089844
1700654921.3381457,458400,-280.28375244140625
1700654949.374222,459200,-274.1473083496094
1700655006.3013449,460800,-268.1724548339844
1700655033.943963,461600,-276.42266845703125
1700655062.4244936,462400,-283.7501220703125
1700655143.5613241,464800,-291.7255859375
1700655252.6245947,468000,-289.80474853515625
1700655279.0840604,468800,-295.2851867675781
1700655305.2492821,469600,-296.2752380371094
1700655363.0022044,471200,-291.81292724609375
1700655390.453302,472000,-303.7774353027344
1700655419.119048,472800,-289.9557189941406
1700655449.2819202,473600,-296.7985534667969
1700655476.3847299,474400,-298.6117248535156
1700655503.349963,475200,-302.2239990234375
1700655531.645334,476000,-298.5268249511719
1700655557.6250598,476800,-295.4261474609375
1700655584.175455,477600,-285.0075988769531
1700655611.8105156,478400,-291.3812561035156
1700655638.4547596,479200,-305.04254150390625
1700655666.096747,480000,-307.132568359375
